,base,quote,exchange,base_t,quote_t,exchange_t,BUY,SELL,id,s_time,s_time_book,bid,bid_qty,ask,ask_qty,bid_t,bid_qty_t,ask_t,ask_qty_t
78,SOL,USDT,Binance,,,,203.12237548828125,202.77764892578125,40,2021-12-04 00:46:35.759,2021-12-04 00:46:37.846,202.86000000,5.00000000,202.93000000,6.48000000,0,0,0,0
79,SOL,AUD,Binance,AUD,USDT,Binance,204.12409891950665,203.21365038735166,40,2021-12-04 00:46:35.759,2021-12-04 00:46:37.846,292.82000000,0.04100000,293.15000000,6.12600000,0.69500000,12245.00000000,0.69510000,61860.00000000
80,SOL,USDT,FTX,,,,202.88665899999998,202.57588149999998,41,2021-12-04 00:46:48.876,2021-12-04 00:46:51.118,203.11,3.8,203.2325,4.16,0,0,0,0
81,SOL,USDT,Binance,,,,203.60275268554688,203.1973114013672,41,2021-12-04 00:46:48.876,2021-12-04 00:46:51.118,203.29000000,2.00000000,203.31000000,4.67000000,0,0,0,0
82,SOL,USDT,FTX,,,,203.40697099999997,202.923173,42,2021-12-04 00:47:14.374,2021-12-04 00:47:16.351,203.8525,17.62,203.9825,16.64,0,0,0,0
83,SOL,USDT,Binance,,,,204.19322204589844,203.766845703125,42,2021-12-04 00:47:14.374,2021-12-04 00:47:16.351,204.12000000,13.50000000,204.17000000,17.97000000,0,0,0,0
84,SOL,USDT,Binance,,,,203.6728057861328,203.3372039794922,43,2021-12-04 00:47:39.481,2021-12-04 00:47:41.423,203.47000000,1.10000000,203.48000000,1.52000000,0.0,0.0,0.0,0.0
85,SOL,BTC,FTX,BTC,USDT,FTX,204.45504041356938,203.68188957995005,43,2021-12-04 00:47:39.481,2021-12-04 00:47:41.423,0.00382625,2.1,0.00382925,36.7,53183.0,0.1982,53184.0,0.0689
86,SOL,USDT,Binance,,,,202.90220642089844,202.43792724609375,44,2021-12-04 00:48:29.474,2021-12-04 00:48:31.730,202.53000000,7.40000000,202.66000000,1.21000000,0,0,0,0
87,SOL,USDT,FTX,,,,203.27439149999998,202.95565349999998,44,2021-12-04 00:48:29.474,2021-12-04 00:48:31.730,202.5,0.34,202.565,4.92,0,0,0,0
88,SOL,USDT,FTX,,,,202.59898649999997,202.223593,45,2021-12-04 00:48:54.862,2021-12-04 00:48:56.832,202.8375,6.19,202.8975,3.36,0,0,0,0
89,SOL,USDT,Binance,,,,203.0022735595703,202.61776733398438,45,2021-12-04 00:48:54.862,2021-12-04 00:48:56.832,202.93000000,7.63000000,203.00000000,39.89000000,0,0,0,0
90,SOL,USDT,FTX,,,,203.16182399999997,202.6458395,46,2021-12-04 00:49:31.487,2021-12-04 00:49:33.344,203.32,8.32,203.4675,0.36,0,0,0,0
91,SOL,USDT,Binance,,,,203.65280151367188,203.26724243164062,46,2021-12-04 00:49:31.487,2021-12-04 00:49:33.344,203.59000000,16.05000000,203.62000000,0.48000000,0,0,0,0
92,SOL,USDT,FTX,,,,203.58958049999998,203.198008,47,2021-12-04 00:49:44.401,2021-12-04 00:49:47.692,203.4975,8.32,203.7825,0.44,0,0,0,0
93,SOL,USDT,Binance,,,,204.1431884765625,203.80682373046875,47,2021-12-04 00:49:44.401,2021-12-04 00:49:47.692,203.73000000,9.02000000,203.83000000,36.94000000,0,0,0,0
94,SOL,USDT,FTX,,,,203.802208,203.51531749999998,48,2021-12-04 00:49:58.725,2021-12-04 00:50:00.997,203.64,228.99,204.0475,19.6,0,0,0,0
95,SOL,USDT,Binance,,,,204.31332397460938,203.91673278808594,48,2021-12-04 00:49:58.725,2021-12-04 00:50:00.997,203.87000000,1.29000000,203.93000000,0.13000000,0,0,0,0
96,SOL,USDT,FTX,,,,203.21435549999998,202.91317899999999,49,2021-12-04 00:50:35.616,2021-12-04 00:50:37.586,203.28,12.12,203.4275,3.8,0,0,0,0
97,SOL,USDT,Binance,,,,203.62277221679688,203.2872314453125,49,2021-12-04 00:50:35.616,2021-12-04 00:50:37.586,203.51000000,2.00000000,203.53000000,0.31000000,0,0,0,0
98,SOL,USDT,Binance,,,,202.73207092285156,202.39794921875,50,2021-12-04 00:51:12.650,2021-12-04 00:51:14.372,202.67000000,0.81000000,202.68000000,0.08000000,0,0,0,0
99,SOL,USDT,FTX,,,,203.146815,202.81823599999998,50,2021-12-04 00:51:12.650,2021-12-04 00:51:14.372,202.435,92.1,202.6575,6.32,0,0,0,0
100,SOL,USDT,FTX,,,,202.41637699999998,202.033707,51,2021-12-04 00:52:15.443,2021-12-04 00:52:17.322,202.705,7.49,202.7625,3.0,0,0,0,0
101,SOL,USDT,Binance,,,,202.9922637939453,202.6077880859375,51,2021-12-04 00:52:15.443,2021-12-04 00:52:17.322,202.82000000,5.00000000,202.85000000,8.13000000,0,0,0,0
,base,quote,exchange,base_t,quote_t,exchange_t,BUY,SELL,id,s_time,s_time_book,bid,bid_qty,ask,ask_qty,bid_t,bid_qty_t,ask_t,ask_qty_t
0,SOL,USDT,Binance,,,,203.1724090576172,202.77764892578125,52,2021-12-04 00:53:43.284,2021-12-04 00:53:45.879,202.93000000,2.00000000,202.94000000,1.00000000,0.0,0.0,0.0,0.0
